City,Fuel Type Code,State,EV Total Port Count (Beta)
carmichael,ELEC,CA,7.0
carneys point township,ELEC,NJ,2.0
carnot-moon,ELEC,PA,2.0
caro,ELEC,MI,1.0
carol stream,ELEC,IL,2.0
carpentersville,ELEC,IL,1.0
carpinteria,ELEC,CA,7.0
carrabassett valley,ELEC,ME,6.0
carrboro,ELEC,NC,16.0
carrizo springs,ELEC,TX,10.0
carrizozo,ELEC,NM,5.0
carroll,ELEC,IA,9.0
carrollton,ELEC,GA,30.0
carson,ELEC,CA,74.0
carson city,ELEC,NV,46.0
carteret,ELEC,NJ,4.0
cartersville,ELEC,GA,18.0
carterville,ELEC,IL,24.0
carthage,ELEC,TN,15.0
cary,ELEC,NC,265.0
caryville,ELEC,TN,2.0
casa grande,ELEC,AZ,25.0
cascade,ELEC,MI,4.0
cascade locks,ELEC,OR,2.0
casco,ELEC,ME,2.0
cashiers,ELEC,NC,2.0
cashton,ELEC,WI,4.0
casper,ELEC,WY,7.0
cass lake,ELEC,MN,2.0
cassadaga,ELEC,NY,2.0
casselberry,ELEC,FL,6.0
cassellberry,ELEC,FL,2.0
cassopolis,ELEC,MI,3.0
castaic,ELEC,CA,25.0
castille,ELEC,NY,2.0
castine,ELEC,ME,6.0
castle creek,ELEC,NY,4.0
castle dale,ELEC,UT,2.0
castle hayne,ELEC,NC,6.0
castle pines,ELEC,CO,4.0
castle rock,ELEC,WA,40.0
castleton,ELEC,VT,2.0
castleton-on-hudson,ELEC,NY,14.0
castro valley,ELEC,CA,14.0
castroville,ELEC,CA,6.0
catalina,ELEC,AZ,3.0
catano,ELEC,PR,1.0
cathedral city,ELEC,CA,35.0
cathlamet,ELEC,WA,3.0
catonsville,ELEC,MD,18.0
catoosa,ELEC,OK,12.0
catskill,ELEC,NY,6.0
cattaraugus,ELEC,NY,2.0
cave city,ELEC,KY,6.0
cave creek,ELEC,AZ,3.0
cavendish,ELEC,VT,4.0
cayce,ELEC,SC,13.0
cayucos,ELEC,CA,4.0
cazadero,ELEC,CA,2.0
cazenovia,ELEC,NY,7.0
cañon city,ELEC,CO,6.0
cecilton,ELEC,MD,1.0
cedar city,ELEC,UT,38.0
cedar falls,ELEC,IA,12.0
cedar grove,ELEC,NJ,7.0
cedar hill,ELEC,TX,10.0
cedar knolls,ELEC,NJ,2.0
cedar lake,ELEC,IN,5.0
cedar park,ELEC,TX,77.0
cedar rapids,ELEC,IA,51.0
cedarburg,ELEC,WI,2.0
cedaredge,ELEC,CO,2.0
cedartown,ELEC,GA,12.0
cedarville,ELEC,OH,5.0
celebration,ELEC,FL,30.0
celina,ELEC,TX,8.0
celoron,ELEC,NY,2.0
centennial,ELEC,CO,68.0
center,ELEC,TX,2.0
center line,ELEC,MI,2.0
center lovell,ELEC,ME,2.0
center moriches,ELEC,NY,4.0
center point,ELEC,IA,1.0
center valley,ELEC,PA,12.0
centereach,ELEC,NY,15.0
centerville,ELEC,OH,50.0
central,ELEC,LA,2.0
central city,ELEC,CO,3.0
central islip,ELEC,NY,10.0
central lake,ELEC,MI,2.0
central point,ELEC,OR,3.0
central san jose,ELEC,CA,2.0
central square,ELEC,NY,4.0
central valley,ELEC,NY,24.0
centralia,ELEC,IL,29.0
centreville,ELEC,VA,23.0
ceres,ELEC,CA,15.0
cerritos,ELEC,CA,85.0
chadds ford,ELEC,PA,3.0
chadron,ELEC,NE,4.0
chalfont,ELEC,PA,4.0
chalmette,ELEC,LA,2.0
chamberlain,ELEC,SD,6.0
chambersburg,ELEC,PA,20.0
chamblee,ELEC,GA,22.0
champaign,ELEC,IL,82.0
championsgate,ELEC,FL,6.0
champlain,ELEC,NY,8.0
champlin,ELEC,MN,4.0
chandler,ELEC,AZ,204.0
channahon,ELEC,IL,1.0
channel view,ELEC,TX,2.0
channelview,ELEC,TX,11.0
chantilly,ELEC,VA,51.0
chanute,ELEC,KS,2.0
chapel hill,ELEC,NC,72.0
chappaqua,ELEC,NY,15.0
chappell,ELEC,NE,1.0
chardon,ELEC,OH,4.0
charlemont,ELEC,MA,2.0
charles city,ELEC,IA,6.0
charles town,ELEC,WV,17.0
charleston,ELEC,SC,130.0
charlestown,ELEC,IN,2.0
charlevoix,ELEC,MI,7.0
charlotte,ELEC,NC,778.0
charlotte hall,ELEC,MD,1.0
charlottesville,ELEC,VA,109.0
charlton,ELEC,MA,29.0
chatauqua,ELEC,NY,1.0
chatham,ELEC,NJ,14.0
chatham township,ELEC,NJ,4.0
chatsworth,ELEC,CA,29.0
chatt hills,ELEC,GA,2.0
chattanooga,ELEC,TN,190.0
chazy,ELEC,NY,3.0
cheboygan,ELEC,MI,7.0
cheboygen,ELEC,MI,1.0
cheektowaga,ELEC,NY,22.0
chehalis,ELEC,WA,16.0
chelan,ELEC,WA,17.0
chelmsford,ELEC,MA,38.0
chelsea,ELEC,MA,22.0
cheltenham,ELEC,MD,2.0
cheney,ELEC,WA,4.0
chentilly,ELEC,VA,2.0
cheraw,ELEC,SC,2.0
cherokee,ELEC,NC,25.0
"cherokee,",ELEC,NC,1.0
cherry hill,ELEC,NJ,43.0
cherry point,ELEC,NC,2.0
cherry valley,ELEC,IL,10.0
cherryville,ELEC,NC,2.0
chesapeake,ELEC,VA,40.0
chesapeake beach,ELEC,MD,8.0
chesapeake city,ELEC,MD,2.0
cheshire,ELEC,CT,17.0
chester,ELEC,VA,43.0
chester springs,ELEC,PA,14.0
chesterbrook,ELEC,PA,8.0
chesterfield,ELEC,MO,24.0
chesterton,ELEC,IN,14.0
chestertown,ELEC,MD,29.0
chestnut hill,ELEC,MA,11.0
cheverly,ELEC,MD,7.0
cheviot,ELEC,OH,2.0
chevy chase,ELEC,MD,34.0
cheyenne,ELEC,WY,20.0
chicago,ELEC,IL,887.0
chicago heights,ELEC,IL,3.0
chicago ridge,ELEC,IL,8.0
chickamauga,ELEC,GA,1.0
chickasha,ELEC,OK,30.0
chico,ELEC,CA,104.0
chicopee,ELEC,MA,32.0
chiefland,ELEC,FL,4.0
childress,ELEC,TX,10.0
chillicothe,ELEC,OH,25.0
chilmark,ELEC,MA,4.0
china township,ELEC,MI,1.0
chincoteague,ELEC,VA,4.0
chincoteague island,ELEC,VA,2.0
chino,ELEC,CA,11.0
chino hills,ELEC,CA,35.0
chipley,ELEC,FL,12.0
chippewa falls,ELEC,WI,3.0
chisholm,ELEC,MN,4.0
chittenango,ELEC,NY,10.0
chittenden,ELEC,VT,1.0
choctaw,ELEC,OK,1.0
chouteau,ELEC,OK,2.0
chowchilla,ELEC,CA,28.0
christiansburg,ELEC,VA,21.0
christmas valley,ELEC,OR,1.0
chubbuck,ELEC,ID,4.0
chugiak,ELEC,AK,8.0
chula vista,ELEC,CA,172.0
church creek,ELEC,MD,2.0
churchville,ELEC,NY,4.0
cicero,ELEC,NY,12.0
cincinatti,ELEC,OH,2.0
cincinnati,ELEC,OH,357.0
cinnaminson,ELEC,NJ,8.0
circleville,ELEC,OH,4.0
cisco,ELEC,TX,8.0
citrus heights,ELEC,CA,20.0
city of industry,ELEC,CA,159.0
city of orange,ELEC,NJ,8.0
city of the village of clarkston,ELEC,MI,4.0
clackamas,ELEC,OR,25.0
clanton,ELEC,AL,3.0
clara city,ELEC,MN,2.0
clare,ELEC,MI,26.0
claremont,ELEC,CA,52.0
claremore,ELEC,OK,12.0
clarence,ELEC,NY,1.0
clarendon,ELEC,VT,4.0
clarinda,ELEC,IA,2.0
clarion,ELEC,PA,6.0
clark,ELEC,NJ,4.0
clarkdale,ELEC,AZ,1.0
clarkesville,ELEC,GA,2.0
clarks summit,ELEC,PA,4.0
clarksburg,ELEC,WV,20.0
clarkston,ELEC,WA,10.0
clarkstown,ELEC,NY,4.0
clarksville,ELEC,TN,56.0
clatskanie,ELEC,OR,4.0
claverack-red mills,ELEC,NY,2.0
clay,ELEC,NY,10.0
claycomo,ELEC,MO,17.0
claymont,ELEC,DE,22.0
claysburg,ELEC,PA,8.0
clayton,ELEC,GA,58.0
clayville,ELEC,NY,2.0
cle elum,ELEC,WA,27.0
clear lake,ELEC,IA,4.0
clear spring,ELEC,MD,6.0
clearfield,ELEC,UT,25.0
clearlake,ELEC,CA,3.0
clearwater,ELEC,FL,100.0
clearwater beach,ELEC,FL,7.0
cleburne,ELEC,TX,5.0
clemmons,ELEC,NC,12.0
clemson,ELEC,SC,6.0
cleona,ELEC,PA,2.0
clermont,ELEC,FL,31.0
cleveland,ELEC,OH,184.0
clfton park,ELEC,NY,2.0
clifton,ELEC,NJ,36.0
clifton forge,ELEC,VA,1.0
clifton heights,ELEC,PA,2.0
clifton park,ELEC,NY,178.0
clifton springs,ELEC,NY,10.0
clines corner,ELEC,NM,4.0
clinton,ELEC,NC,72.0
clinton corners,ELEC,NY,8.0
clinton township,ELEC,MI,12.0
clinton twp,ELEC,MI,5.0
clintonville,ELEC,WI,4.0
clio,ELEC,CA,2.0
clive,ELEC,IA,10.0
cloquet,ELEC,MN,2.0
closter,ELEC,NJ,4.0
cloudcroft,ELEC,NM,2.0
clover,ELEC,SC,2.0
cloverdale,ELEC,CA,8.0
clovis,ELEC,CA,141.0
clute,ELEC,TX,2.0
clyde,ELEC,NC,33.0
coachella,ELEC,CA,3.0
coalinga,ELEC,CA,80.0
coalville,ELEC,UT,11.0
coarsegold,ELEC,CA,8.0
coatesville,ELEC,PA,6.0
cobleskill,ELEC,NY,4.0
cochran,ELEC,GA,2.0
cockeysville,ELEC,MD,34.0
cocoa,ELEC,FL,42.0
cocoa beach,ELEC,FL,11.0
coconut creek,ELEC,FL,41.0
coconut grove,ELEC,FL,21.0
cody,ELEC,WY,6.0
coeur d'alene,ELEC,ID,34.0
coeur'd alene,ELEC,ID,1.0
coffee creek,ELEC,CA,2.0
cohasset,ELEC,MA,16.0
cohoes,ELEC,NY,77.0
cohutta,ELEC,GA,2.0
colby,ELEC,KS,18.0
colchester,ELEC,VT,29.0
cold spring,ELEC,NY,2.0
cold spring harbor,ELEC,NY,2.0
coldwater,ELEC,MI,20.0
colebrook,ELEC,NH,6.0
coleman,ELEC,WI,5.0
colerain township,ELEC,OH,2.0
colfax,ELEC,CA,18.0
college corner,ELEC,OH,4.0
college park,ELEC,MD,178.0
college place,ELEC,WA,5.0
college station,ELEC,TX,40.0
collegedale,ELEC,TN,8.0
collegeville,ELEC,PA,4.0
colleyville,ELEC,TX,4.0
collierville,ELEC,TN,2.0
collingswood,ELEC,NJ,4.0
collinsville,ELEC,IL,12.0
colma,ELEC,CA,16.0
colmar,ELEC,PA,4.0
colmar manor,ELEC,MD,6.0
coloma,ELEC,WI,1.0
colonial beach,ELEC,VA,3.0
colonial heights,ELEC,VA,16.0
colonie,ELEC,NY,18.0
colorado city,ELEC,TX,9.0
colorado springs,ELEC,CO,211.0
colton,ELEC,CA,31.0
columbia,ELEC,SC,472.0
columbia city,ELEC,IN,1.0
columbiana,ELEC,OH,4.0
columbus,ELEC,OH,746.0
colusa,ELEC,CA,12.0
colville,ELEC,WA,5.0
colwich,ELEC,KS,2.0
comanche,ELEC,OK,5.0
comfort,ELEC,TX,4.0
commack,ELEC,NY,4.0
commerce,ELEC,CA,121.0
commerce charter township,ELEC,MI,8.0
commerce city,ELEC,CO,40.0
commerce township,ELEC,MI,2.0
compton,ELEC,CA,18.0
comstock,ELEC,NY,2.0
comstock park,ELEC,MI,5.0
concan,ELEC,TX,1.0
concord,ELEC,CA,188.0
concordia,ELEC,MO,9.0
concordville,ELEC,PA,4.0
concrete,ELEC,WA,2.0
condon,ELEC,OR,2.0
conifer,ELEC,CO,10.0
connell,ELEC,WA,2.0
connellsville,ELEC,PA,2.0
conover,ELEC,NC,4.0
conroe,ELEC,TX,31.0
conshohocken,ELEC,PA,60.0
conway,ELEC,AR,55.0
conyers,ELEC,GA,12.0
cook,ELEC,MN,7.0
cooke city,ELEC,MT,2.0
cookeville,ELEC,TN,31.0
cookson,ELEC,OK,2.0
coon rapids,ELEC,IA,7.0
cooper landing,ELEC,AK,2.0
coopersburg,ELEC,PA,4.0
cooperstown,ELEC,NY,13.0
coopersville,ELEC,MI,2.0
coos bay,ELEC,OR,27.0
copalis crossing,ELEC,WA,1.0
copemish,ELEC,MI,4.0
copiague,ELEC,NY,12.0
coplay,ELEC,PA,2.0
copley,ELEC,OH,2.0
coppell,ELEC,TX,41.0
copper harbor,ELEC,MI,6.0
copper mountain,ELEC,CO,2.0
copperopolis,ELEC,CA,12.0
coral gables,ELEC,FL,190.0
coral springs,ELEC,FL,14.0
coralville,ELEC,IA,29.0
coram,ELEC,MT,2.0
coraopolis,ELEC,PA,8.0
corbin,ELEC,KY,4.0
corcoran,ELEC,CA,2.0
cordele,ELEC,GA,31.0
cordova,ELEC,AK,6.0
corfu,ELEC,NY,2.0
corinth,ELEC,TX,11.0
cornelia,ELEC,GA,7.0
cornelius,ELEC,NC,12.0
corning,ELEC,CA,23.0
cornwall,ELEC,NY,2.0
corolla,ELEC,NC,2.0
corona,ELEC,CA,102.0
corona del mar,ELEC,CA,2.0
coronado,ELEC,CA,96.0
corpus christi,ELEC,TX,61.0
corsicana,ELEC,TX,12.0
corte madera,ELEC,CA,18.0
cortez,ELEC,CO,4.0
cortland,ELEC,NY,15.0
cortlandt,ELEC,NY,2.0
corvallis,ELEC,OR,58.0
corydon,ELEC,IN,3.0
coshocton,ELEC,OH,6.0
costa mesa,ELEC,CA,219.0
cotati,ELEC,CA,9.0
cottage grove,ELEC,MN,24.0
cottleville,ELEC,MO,4.0
cottondale,ELEC,AL,9.0
cottonwood,ELEC,AZ,21.0
cotulla,ELEC,TX,2.0
cougar,ELEC,WA,1.0
coulee city,ELEC,WA,1.0
coulee dam,ELEC,WA,1.0
counce,ELEC,TN,2.0
council bluffs,ELEC,IA,17.0
country club hills,ELEC,IL,8.0
countryside,ELEC,IL,7.0
coupeville,ELEC,WA,4.0
coventry,ELEC,CT,8.0
covina,ELEC,CA,34.0
covington,ELEC,LA,72.0
coweta,ELEC,OK,2.0
coxsackie,ELEC,NY,10.0
crafton,ELEC,PA,1.0
craftsbury common,ELEC,VT,7.0
craig,ELEC,CO,14.0
cramerton,ELEC,NC,2.0
cranberry,ELEC,PA,6.0
cranberry township,ELEC,PA,16.0
cranbury,ELEC,NJ,11.0
crane,ELEC,IN,1.0
cranford,ELEC,NJ,15.0
cranston,ELEC,RI,30.0
crater lake,ELEC,OR,2.0
crawfordsville,ELEC,IN,4.0
crawfordville,ELEC,FL,14.0
creede,ELEC,CO,1.0
creighton,ELEC,MO,4.0
crescent,ELEC,OR,10.0
crescent city,ELEC,CA,35.0
cresco,ELEC,IA,4.0
cresson,ELEC,PA,2.0
crested butte,ELEC,CO,29.0
creston,ELEC,CA,3.0
crestview,ELEC,FL,8.0
crestwood,ELEC,KY,3.0
creswell,ELEC,OR,8.0
crete,ELEC,IL,4.0
creve coeur,ELEC,MO,8.0
cripple creek,ELEC,CO,7.0
crisfield,ELEC,MD,4.0
crivitz,ELEC,WI,2.0
crofton,ELEC,MD,6.0
cromwell,ELEC,CT,3.0
crookston,ELEC,MN,4.0
crosby,ELEC,MN,3.0
cross plains,ELEC,WI,2.0
crossett,ELEC,AR,2.0
crossville,ELEC,TN,28.0
croton-on-hudson,ELEC,NY,4.0
crown point,ELEC,NY,14.0
crownsville,ELEC,MD,7.0
crozet,ELEC,VA,8.0
crystal falls,ELEC,MI,1.0
crystal lake,ELEC,IL,12.0
crystal river,ELEC,FL,17.0
cuero,ELEC,TX,7.0
cullman,ELEC,AL,9.0
cullowhee,ELEC,NC,11.0
culpeper,ELEC,VA,3.0
culver,ELEC,IN,4.0
culver city,ELEC,CA,283.0
cumberland,ELEC,ME,43.0
cumberland center,ELEC,ME,2.0
cumming,ELEC,GA,27.0
cupertino,ELEC,CA,273.0
custer,ELEC,WA,37.0
cutchogue,ELEC,NY,3.0
cutler bay,ELEC,FL,12.0
cuyahoga falls,ELEC,OH,17.0
cypress,ELEC,TX,84.0
cypress gardens,ELEC,FL,2.0
d'iberville,ELEC,MS,16.0
dacono,ELEC,CO,2.0
dacula,ELEC,GA,6.0
dade city,ELEC,FL,8.0
dagsboro,ELEC,DE,5.0
dahlgren,ELEC,VA,8.0
dahlonega,ELEC,GA,16.0
dalhart,ELEC,TX,1.0
dallas,ELEC,TX,660.0
dalton,ELEC,GA,14.0
daly city,ELEC,CA,99.0
damariscotta,ELEC,ME,6.0
damascus,ELEC,VA,4.0
dana point,ELEC,CA,8.0
danbury,ELEC,CT,53.0
danforth,ELEC,ME,2.0
dania,ELEC,FL,2.0
dania beach,ELEC,FL,26.0
daniels,ELEC,WV,4.0
danielson,ELEC,CT,2.0
dannebrog,ELEC,NE,2.0
dansville,ELEC,NY,12.0
danvers,ELEC,MA,50.0
danville,ELEC,KY,61.0
daphne,ELEC,AL,15.0
darien,ELEC,CT,43.0
darien center,ELEC,NY,1.0
darlington,ELEC,MD,12.0
darnestown,ELEC,MD,2.0
darrington,ELEC,WA,2.0
dartmouth,ELEC,MA,26.0
dateland,ELEC,AZ,44.0
davenport,ELEC,IA,68.0
davidson,ELEC,NC,10.0
davie,ELEC,FL,74.0
davis,ELEC,CA,201.0
davison,ELEC,MI,3.0
dawsonville,ELEC,GA,36.0
dayton,ELEC,OH,181.0
daytona,ELEC,FL,12.0
daytona beach,ELEC,FL,118.0
daytona beach shores,ELEC,FL,4.0
de funiak springs,ELEC,FL,5.0
de queen,ELEC,AR,2.0
de soto,ELEC,IA,2.0
deadwood,ELEC,SD,8.0
dearborn,ELEC,MI,37.0
dearborn heights,ELEC,MI,2.0
death valley,ELEC,CA,4.0
debary,ELEC,FL,1.0
decatur,ELEC,AL,90.0
deckerville,ELEC,MI,2.0
decorah,ELEC,IA,10.0
dedham,ELEC,MA,20.0
deep river,ELEC,CT,2.0
deer island,ELEC,OR,4.0
deer isle,ELEC,ME,2.0
deer park,ELEC,CA,25.0
deer river,ELEC,MN,2.0
deerfield,ELEC,IL,11.0
deerfield beach,ELEC,FL,45.0
defiance,ELEC,OH,2.0
deforest,ELEC,WI,6.0
defuniak springs,ELEC,FL,2.0
dekalb,ELEC,IL,41.0
dekalb junction,ELEC,NY,2.0
del city,ELEC,OK,2.0
del mar,ELEC,CA,22.0
del monte forest,ELEC,CA,7.0
del norte,ELEC,CO,3.0
del rio,ELEC,TX,4.0
del valle,ELEC,TX,8.0
deland,ELEC,FL,14.0
delano,ELEC,CA,14.0
delanson,ELEC,NY,4.0
delavan,ELEC,WI,3.0
delaware,ELEC,OH,11.0
delhi,ELEC,CA,9.0
delhi charter township,ELEC,MI,4.0
dell,ELEC,MT,4.0
dellroy,ELEC,OH,4.0
delmar,ELEC,NY,59.0
delmont,ELEC,PA,2.0
delphos,ELEC,OH,4.0
delran,ELEC,NJ,1.0
delray beach,ELEC,FL,77.0
delta,ELEC,CO,3.0
deltaville,ELEC,VA,2.0
deltona,ELEC,FL,12.0
demarest,ELEC,NJ,5.0
deming,ELEC,NM,16.0
demopolis,ELEC,AL,1.0
denali national park and preserve,ELEC,AK,3.0
denali park,ELEC,AK,2.0
denham springs,ELEC,LA,2.0
denison,ELEC,TX,14.0
denmark,ELEC,ME,1.0
dennis,ELEC,MA,1.0
denton,ELEC,TX,76.0
denver,ELEC,CO,1079.0
denville,ELEC,NJ,19.0
depew,ELEC,NY,7.0
depoe bay,ELEC,OR,1.0
deptford,ELEC,NJ,16.0
deptford township,ELEC,NJ,2.0
derby,ELEC,KS,3.0
derby line,ELEC,VT,1.0
deridder,ELEC,LA,1.0
derry,ELEC,PA,2.0
des moines,ELEC,IA,85.0
des peres,ELEC,MO,1.0
des plaines,ELEC,IL,26.0
desert center,ELEC,CA,2.0
desert hot springs,ELEC,CA,4.0
desoto,ELEC,TX,6.0
destin,ELEC,FL,20.0
detroit,ELEC,MI,349.0
detroit lakes,ELEC,MN,3.0
devens,ELEC,MA,2.0
devils lake,ELEC,ND,4.0
devils tower,ELEC,WY,1.0
devon,ELEC,PA,12.0
dewey,ELEC,AZ,4.0
dewey beach,ELEC,DE,2.0
dewitt,ELEC,MI,5.0
dexter,ELEC,MI,9.0
dfw airport,ELEC,TX,32.0
diamond bar,ELEC,CA,99.0
dickinson,ELEC,ND,23.0
dickson,ELEC,TN,21.0
dighton,ELEC,MA,6.0
dillard,ELEC,GA,2.0
dillon,ELEC,CO,56.0
dillon beach,ELEC,CA,1.0
dillsboro,ELEC,NC,1.0
dillsburg,ELEC,PA,2.0
dinosaur,ELEC,CO,2.0
dinuba,ELEC,CA,2.0
district heights,ELEC,MD,18.0
district of columbia,ELEC,DC,1.0
divide,ELEC,CO,2.0
dix hills,ELEC,NY,4.0
dixon,ELEC,CA,13.0
dobbs ferry,ELEC,NY,14.0
dobson,ELEC,NC,13.0
dodge city,ELEC,KS,3.0
dolores,ELEC,CO,3.0
donora,ELEC,PA,2.0
doral,ELEC,FL,76.0
dorchester,ELEC,MA,4.0
dorset,ELEC,VT,4.0
dothan,ELEC,AL,24.0
douglas,ELEC,WY,15.0
douglas city,ELEC,CA,2.0
douglassville,ELEC,PA,1.0
douglasville,ELEC,GA,37.0
douglasvilleq,ELEC,GA,4.0
dover,ELEC,OH,69.0
dover plains,ELEC,NY,2.0
dowagiac,ELEC,MI,1.0
dowell,ELEC,MD,3.0
downers grove,ELEC,IL,24.0
downey,ELEC,CA,233.0
downieville,ELEC,CA,1.0
downingtown,ELEC,PA,14.0
downsville,ELEC,NY,2.0
dows,ELEC,IA,8.0
doyle,ELEC,CA,1.0
doylestown,ELEC,PA,24.0
dracut,ELEC,MA,4.0
drakesboro,ELEC,KY,4.0
draper,ELEC,UT,101.0
dresden,ELEC,OH,2.0
drexel hill,ELEC,PA,6.0
driggs,ELEC,ID,2.0
dripping springs,ELEC,TX,4.0
drums,ELEC,PA,1.0
dry ridge,ELEC,KY,2.0
dryden,ELEC,NY,8.0
duarte,ELEC,CA,13.0
dublin,ELEC,CA,215.0
dubois,ELEC,WY,10.0
dubuque,ELEC,IA,28.0
duck,ELEC,NC,10.0
ducktown,ELEC,TN,4.0
dudley,ELEC,NC,6.0
dufur,ELEC,OR,3.0
dulles,ELEC,VA,22.0
duluth,ELEC,GA,126.0
dumas,ELEC,TX,16.0
dumfries,ELEC,VA,2.0
dumont,ELEC,NJ,2.0
duncan,ELEC,SC,3.0
duncansville,ELEC,PA,2.0
duncanville,ELEC,TX,10.0
dundalk,ELEC,MD,12.0
dundee,ELEC,OR,12.0
dunedin,ELEC,FL,15.0
dunkirk,ELEC,MD,10.0
dunmore,ELEC,PA,2.0
dunn,ELEC,NC,6.0
dunnellon,ELEC,FL,2.0
dunnigan,ELEC,CA,15.0
dunseith,ELEC,ND,1.0
dunsmuir,ELEC,CA,5.0
dunwoody,ELEC,GA,21.0
dupont,ELEC,WA,7.0
duquesne,ELEC,PA,8.0
durand,ELEC,MI,4.0
durango,ELEC,CO,56.0
durant,ELEC,OK,20.0
durham,ELEC,NC,227.0
dutch flat,ELEC,CA,2.0
duxbury,ELEC,MA,4.0
dwight,ELEC,IL,8.0
dyer,ELEC,IN,3.0
dyersburg,ELEC,TN,1.0
e. palo alto,ELEC,CA,6.0
eagan,ELEC,MN,47.0
eagle,ELEC,CO,35.0
eagle bay,ELEC,NY,2.0
eagle mountain,ELEC,UT,2.0
eagle nest,ELEC,NM,2.0
eagle pass,ELEC,TX,4.0
eagles mere,ELEC,PA,2.0
eagleville,ELEC,PA,7.0
early,ELEC,IA,4.0
easley,ELEC,SC,2.0
east alton,ELEC,IL,1.0
east amherst,ELEC,NY,8.0
east aurora,ELEC,NY,5.0
east boothbay,ELEC,ME,11.0
east boston,ELEC,MA,7.0
east brookfield,ELEC,MA,4.0
east brunswick,ELEC,NJ,51.0
east cambridge,ELEC,MA,2.0
east camden,ELEC,AR,2.0
east dubuque,ELEC,IL,3.0
east earl,ELEC,PA,4.0
east ellijay,ELEC,GA,4.0
east elmhurst,ELEC,NY,43.0
east freetown,ELEC,MA,1.0
east glacier park,ELEC,MT,2.0
east granby,ELEC,CT,2.0
east grand forks,ELEC,MN,2.0
east grand rapids,ELEC,MI,4.0
east greenbush,ELEC,NY,22.0
east greenwich,ELEC,RI,24.0
east griffin,ELEC,GA,2.0
east haddam,ELEC,CT,1.0
east hampton,ELEC,CT,32.0
east hanover,ELEC,NJ,1.0
east hartford,ELEC,CT,18.0
east haven,ELEC,CT,15.0
east highland park,ELEC,VA,8.0
east jordan,ELEC,MI,2.0
east kalispell,ELEC,MT,2.0
east lansing,ELEC,MI,31.0
east latrobe,ELEC,PA,1.0
east liberty,ELEC,OH,9.0
east liverpool,ELEC,OH,2.0
east longmeadow,ELEC,MA,4.0
east los angeles,ELEC,CA,6.0
east lyme,ELEC,CT,4.0
east meadow,ELEC,NY,5.0
east norriton,ELEC,PA,3.0
east norwich,ELEC,NY,3.0
east orange,ELEC,NJ,2.0
east palo alto,ELEC,CA,32.0
east patchogue,ELEC,NY,2.0
east peoria,ELEC,IL,10.0
east peorria,ELEC,IL,6.0
east petersburg,ELEC,PA,10.0
east point,ELEC,GA,34.0
east providence,ELEC,RI,39.0
east rochester,ELEC,NY,22.0
east rutherford,ELEC,NJ,20.0
east saint louis,ELEC,IL,6.0
east stroudsburg,ELEC,PA,4.0
east syracuse,ELEC,NY,48.0
east tawas,ELEC,MI,2.0
east troy,ELEC,WI,1.0
east wareham,ELEC,MA,2.0
east wenatchee,ELEC,WA,7.0
east windsor,ELEC,NJ,26.0
east york,ELEC,PA,4.0
eastampton township,ELEC,NJ,2.0
eastchester,ELEC,NY,4.0
eastham,ELEC,MA,11.0
easthampton,ELEC,MA,30.0
eastland,ELEC,TX,4.0
easton,ELEC,CT,69.0
eastpoint,ELEC,FL,2.0
eastpointe,ELEC,MI,6.0
eastport,ELEC,ME,4.0
eastsound,ELEC,WA,5.0
eastvale,ELEC,CA,16.0
eatonton,ELEC,GA,1.0
eatontown,ELEC,NJ,10.0
eau claire,ELEC,WI,45.0
ebensburg,ELEC,PA,3.0
eden prairie,ELEC,MN,24.0
edenton,ELEC,NC,2.0
edgartown,ELEC,MA,7.0
edgefield,ELEC,SC,2.0
edgewater,ELEC,MD,65.0
edgewater park,ELEC,NJ,2.0
edgewood,ELEC,MD,11.0
edina,ELEC,MN,51.0
edinboro,ELEC,PA,4.0
edinburg,ELEC,TX,4.0
edinburgh,ELEC,IN,2.0
edison,ELEC,NJ,67.0
edisto beach,ELEC,SC,6.0
edisto island,ELEC,SC,2.0
edmond,ELEC,OK,69.0
edmonds,ELEC,WA,22.0
edmonston,ELEC,MD,2.0
edwards,ELEC,CO,24.0
edwardsville,ELEC,IL,26.0
effingham,ELEC,IL,25.0
egg harbor,ELEC,WI,7.0
egg harbor city,ELEC,NJ,5.0
egg harbor township,ELEC,NJ,31.0
ehrenberg,ELEC,AZ,8.0
ehrhardt,ELEC,SC,2.0
ei campo,ELEC,TX,5.0
el cajon,ELEC,CA,116.0
el centro,ELEC,CA,41.0
el cerrito,ELEC,CA,28.0
el dorado,ELEC,KS,23.0
el dorado hills,ELEC,CA,26.0
el dorado ocl,ELEC,KS,4.0
el jebel,ELEC,CO,5.0
el mirage,ELEC,AZ,1.0
el monte,ELEC,CA,70.0
el paso,ELEC,TX,90.0
el portal,ELEC,CA,10.0
el prado,ELEC,NM,4.0
el reno,ELEC,OK,12.0
el rito,ELEC,NM,2.0
el segundo,ELEC,CA,142.0
el sobrante,ELEC,CA,2.0
elbe,ELEC,WA,2.0
elberton,ELEC,GA,3.0
elburn,ELEC,IL,2.0
eldersberg,ELEC,MD,1.0
eldersburg,ELEC,MD,6.0
eldred,ELEC,NY,6.0
elephant butte,ELEC,NM,5.0
elgin,ELEC,IL,57.0
elizabeth,ELEC,NJ,60.0
elizabeth city,ELEC,NC,12.0
