City,State,Total Population
Tallahassee,Florida,201728
Tamarac,Florida,71915
Tampa,Florida,398160
The Villages CDP,Florida,78517
Town 'n' Country CDP,Florida,87521
Wesley Chapel CDP,Florida,81390
Weston,Florida,67676
West Palm Beach,Florida,120922
Albany,Georgia,67922
Alpharetta,Georgia,67276
Athens-Clarke County unified government (balance),Georgia,127981
Atlanta,Georgia,499121
Augusta-Richmond County consolidated government (balance),Georgia,202596
Columbus,Georgia,202616
Johns Creek,Georgia,82458
Macon-Bibb County,Georgia,156197
Roswell,Georgia,92945
Sandy Springs,Georgia,107767
Savannah,Georgia,147987
South Fulton,Georgia,111151
Warner Robins,Georgia,81833
Urban Honolulu CDP,Hawaii,343437
Boise,Idaho,236632
Caldwell,Idaho,65925
Idaho Falls,Idaho,67718
Meridian,Idaho,129730
Nampa,Idaho,110932
Arlington Heights village,Illinois,74207
Aurora,Illinois,182336
Bloomington,Illinois,78874
Bolingbrook village,Illinois,75444
Champaign,Illinois,89245
Chicago,Illinois,2665064
Cicero town,Illinois,81916
Decatur,Illinois,70396
Elgin,Illinois,109634
Evanston,Illinois,75538
Joliet,Illinois,147696
Naperville,Illinois,148508
Palatine village,Illinois,65428
Peoria,Illinois,109221
Rockford,Illinois,145835
Schaumburg village,Illinois,78285
Skokie village,Illinois,65503
Springfield,Illinois,113331
Waukegan,Illinois,86472
Bloomington,Indiana,77358
Carmel,Indiana,101286
Evansville,Indiana,118521
Fishers,Indiana,102152
Fort Wayne,Indiana,267436
Gary,Indiana,67742
Hammond,Indiana,76562
Indianapolis (balance),Indiana,876564
Lafayette,Indiana,72326
Muncie,Indiana,65160
Noblesville,Indiana,74262
South Bend,Indiana,105984
Ames,Iowa,66950
Ankeny,Iowa,72219
Cedar Rapids,Iowa,136438
Davenport,Iowa,100491
Des Moines,Iowa,210936
Iowa,Iowa,75231
Sioux,Iowa,83215
Waterloo,Iowa,66555
West Des Moines,Iowa,73965
Kansas,Kansas,152561
Lawrence,Kansas,95784
Olathe,Kansas,145597
Overland Park,Kansas,197747
Shawnee,Kansas,69220
Topeka,Kansas,125464
Wichita,Kansas,396205
Bowling Green,Kentucky,74929
Lexington-Fayette urban county,Kentucky,320347
Louisville/Jefferson County metro government (balance),Kentucky,624450
