City,State,Total EV Chargers,Median Income (16 and over),Total Population
Fayetteville,Arkansas,170,37445,99288
Fayetteville,North Carolina,170,37445,208888
Fayetteville,Arkansas,170,35658,99288
Fayetteville,North Carolina,170,35658,208888
Federal way,Washington,34,44531,97863
Fishers,Indiana,32,70877,102152
Flagstaff,Arizona,157,31979,75902
Flint,Michigan,17,27587,79865
Folsom,California,131,76422,83273
Fontana,California,78,41598,212448
Fort collins,Colorado,186,45232,169248
Fort lauderdale,Florida,287,48679,183156
Fort myers,Florida,156,38132,95935
Fort smith,Arkansas,3,33362,89981
Fort wayne,Indiana,133,39779,267436
Fort worth,Texas,375,45264,961160
Framingham,Massachusetts,72,58880,70947
Franklin,Tennessee,130,64516,86904
Frederick,Maryland,103,61283,82169
Fremont,California,392,97169,223859
Fresno,California,608,39338,545564
Frisco,Texas,178,75873,219571
Fullerton,California,209,52042,140552
Gainesville,Florida,143,30487,145212
Gaithersburg,Maryland,110,52584,68952
Garden grove,California,28,38857,169265
Garland,Texas,52,39934,240667
Gary,Indiana,3,29934,67742
Gastonia,North Carolina,43,40609,82666
Georgetown,Texas,77,54110,86505
Glendale,Arizona,455,40678,252141
Glendale,California,455,40678,189228
Glendale,Arizona,455,51596,252141
Glendale,California,455,51596,189228
Goodyear,Arizona,49,54393,105404
Grand junction,Colorado,82,37849,68054
Grand prairie,Texas,38,41811,201791
Grand rapids,Michigan,123,43753,196904
Greeley,Colorado,33,40196,109203
Green bay,Wisconsin,20,40706,106096
Greensboro,North Carolina,128,36327,301118
Greenville,North Carolina,229,37619,89222
Greenville,South Carolina,229,37619,72310
Greenville,North Carolina,229,43481,89222
Greenville,South Carolina,229,43481,72310
Gresham,Oregon,21,42882,111634
Gulfport,Mississippi,128,34630,72228
Hammond,Indiana,11,37872,76562
Hampton,Virginia,62,42845,138037
Harlingen,Texas,17,34826,71669
Hartford,Connecticut,196,35498,120682
Haverhill,Massachusetts,40,50557,67151
Hawthorne,California,81,40535,84564
Hayward,California,234,53171,156773
Hemet,California,10,38202,90688
Henderson,Nevada,183,50815,331408
Hesperia,California,48,39369,100766
Hialeah,Florida,40,32474,220274
High point,North Carolina,14,41448,114339
Hillsboro,Oregon,168,56234,107319
Hollywood,Florida,182,39085,152662
Homestead,Florida,47,37940,81559
Hoover,Alabama,6,58486,92427
Houston,Texas,1424,40711,2304414
Huntington beach,California,122,64959,194306
Huntsville,Alabama,151,42391,222363
Idaho falls,Idaho,57,40410,67718
Independence,Missouri,45,42010,121211
Indio,California,102,40704,91991
Inglewood,California,95,36652,103628
Iowa,Iowa,16,26331,75231
Irvine,California,1287,76779,313705
Irving,Texas,149,44109,254712
Jackson,Mississippi,172,33059,146019
Jackson,Tennessee,172,33059,68381
Jackson,Mississippi,172,31933,146019
Jackson,Tennessee,172,31933,68381
Jacksonville,Florida,447,42787,971315
Jacksonville,North Carolina,447,42787,70433
Jacksonville,Florida,447,29725,971315
Jacksonville,North Carolina,447,29725,70433
Janesville,Wisconsin,19,42935,65901
Johns creek,Georgia,11,84219,82458
Johnson,Tennessee,10,31633,71444
Joliet,Illinois,19,45311,147696
Jonesboro,Arkansas,32,37429,79884
Jurupa valley,California,4,37284,107603
Kalamazoo,Michigan,72,29555,72883
Kansas,Kansas,4,40106,152561
Kansas,Missouri,4,40106,509247
Kansas,Kansas,4,45540,152561
Kansas,Missouri,4,45540,509247
Kenner,Louisiana,44,42769,63991
Kennewick,Washington,28,42234,84757
Kenosha,Wisconsin,22,42039,98490
Kent,Washington,63,50474,134400
Killeen,Texas,19,31396,159170
Kirkland,Washington,99,86148,92155
Kissimmee,Florida,156,31305,80009
Knoxville,Tennessee,162,34146,195871
