City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Carmel,ELEC,IN,59.0,Indiana,71096.0,Indiana,101286.0
Carrollton,ELEC,GA,30.0,Texas,53554.0,Texas,133240.0
Carson,ELEC,CA,74.0,California,46590.0,California,92391.0
Cedar park,ELEC,TX,77.0,Texas,68693.0,Texas,80212.0
Cedar rapids,ELEC,IA,51.0,Iowa,41051.0,Iowa,136438.0
Centennial,ELEC,CO,68.0,Colorado,71211.0,Colorado,105860.0
Champaign,ELEC,IL,82.0,Illinois,38926.0,Illinois,89245.0
Chandler,ELEC,AZ,204.0,Arizona,54648.0,Arizona,280684.0
Charleston,ELEC,SC,130.0,South Carolina,51854.0,South Carolina,153743.0
Charlotte,ELEC,NC,778.0,North Carolina,49521.0,North Carolina,897720.0
Chattanooga,ELEC,TN,190.0,Tennessee,42930.0,Tennessee,184071.0
Chesapeake,ELEC,VA,40.0,Virginia,50160.0,Virginia,252488.0
Cheyenne,ELEC,WY,20.0,Wyoming,46600.0,Wyoming,64623.0
Chicago,ELEC,IL,887.0,Illinois,50723.0,Illinois,2665064.0
Chico,ELEC,CA,104.0,California,35142.0,California,101304.0
Chino,ELEC,CA,11.0,California,50265.0,California,93149.0
Chino hills,ELEC,CA,35.0,California,52654.0,California,77923.0
Chula vista,ELEC,CA,172.0,California,47722.0,California,279158.0
Cincinnati,ELEC,OH,357.0,Ohio,39890.0,Ohio,309536.0
Citrus heights,ELEC,CA,20.0,California,45035.0,California,86440.0
Clarksville,ELEC,TN,56.0,Tennessee,38614.0,Tennessee,176977.0
Clearwater,ELEC,FL,100.0,Florida,38138.0,Florida,117010.0
Cleveland,ELEC,OH,184.0,Ohio,35824.0,Ohio,361654.0
Clifton,ELEC,NJ,36.0,New Jersey,51554.0,New Jersey,88722.0
Clovis,ELEC,CA,141.0,California,54360.0,California,124546.0
College station,ELEC,TX,40.0,Texas,30470.0,Texas,124326.0
Colorado springs,ELEC,CO,211.0,Colorado,44548.0,Colorado,486228.0
Columbia,ELEC,SC,472.0,Missouri,40039.0,Missouri,128545.0
Columbia,ELEC,SC,472.0,Missouri,40039.0,South Carolina,139343.0
Columbia,ELEC,SC,472.0,South Carolina,37286.0,Missouri,128545.0
Columbia,ELEC,SC,472.0,South Carolina,37286.0,South Carolina,139343.0
Columbus,ELEC,OH,746.0,Georgia,36260.0,Georgia,202616.0
Columbus,ELEC,OH,746.0,Georgia,36260.0,Ohio,908372.0
Columbus,ELEC,OH,746.0,Ohio,42586.0,Georgia,202616.0
Columbus,ELEC,OH,746.0,Ohio,42586.0,Ohio,908372.0
Commerce,ELEC,CA,121.0,Colorado,51531.0,Colorado,66116.0
