"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"                Native Hawaiian","3,028","±2,705","0.1%","±0.1","2,323","±1,244","0.3%","±0.2","4,674","±1,294","0.1%","±0.1","N","N","N","N","23,212","±4,358","0.1%","±0.1","2,402","±843","0.0%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","3,413","±1,097","0.0%","±0.1","1,819","±892","0.0%","±0.1","83,655","±6,623","5.8%","±0.5","1,179","±830","0.1%","±0.1","1,358","±663","0.0%","±0.1","634","±432","0.0%","±0.1","300","±272","0.0%","±0.1","238","±211","0.0%","±0.1","388","±336","0.0%","±0.1","N","N","N","N","N","N","N","N","858","±610","0.0%","±0.1","773","±661","0.0%","±0.1","990","±539","0.0%","±0.1","142","±103","0.0%","±0.1","N","N","N","N","1,553","±735","0.0%","±0.1","N","N","N","N","N","N","N","N","6,921","±2,078","0.2%","±0.1","N","N","N","N","N","N","N","N","528","±425","0.0%","±0.1","1,875","±937","0.0%","±0.1","2,041","±1,573","0.0%","±0.1","N","N","N","N","783","±366","0.0%","±0.1","2,241","±1,692","0.1%","±0.1","5,577","±1,648","0.1%","±0.1","1,442","±735","0.0%","±0.1","N","N","N","N","303","±347","0.0%","±0.1","N","N","N","N","1,998","±1,083","0.0%","±0.1","11,839","±3,649","0.0%","±0.1","2,963","±1,447","0.1%","±0.1","N","N","N","N","1,929","±1,277","0.0%","±0.1","5,959","±1,742","0.1%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"                Samoan","548","±513","0.0%","±0.1","8,261","±2,837","1.1%","±0.4","2,992","±1,360","0.0%","±0.1","N","N","N","N","39,563","±6,041","0.1%","±0.1","547","±463","0.0%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","2,324","±962","0.0%","±0.1","713","±483","0.0%","±0.1","13,123","±2,988","0.9%","±0.2","895","±549","0.0%","±0.1","2,695","±2,076","0.0%","±0.1","993","±759","0.0%","±0.1","716","±541","0.0%","±0.1","79","±102","0.0%","±0.1","166","±165","0.0%","±0.1","N","N","N","N","N","N","N","N","429","±494","0.0%","±0.1","234","±377","0.0%","±0.1","400","±343","0.0%","±0.1","331","±241","0.0%","±0.1","N","N","N","N","1,617","±982","0.0%","±0.1","N","N","N","N","N","N","N","N","7,586","±2,549","0.2%","±0.1","N","N","N","N","N","N","N","N","774","±1,174","0.0%","±0.1","794","±609","0.0%","±0.1","760","±356","0.0%","±0.1","N","N","N","N","1,088","±867","0.0%","±0.1","698","±331","0.0%","±0.1","324","±313","0.0%","±0.1","538","±405","0.0%","±0.1","N","N","N","N","702","±572","0.0%","±0.1","N","N","N","N","528","±426","0.0%","±0.1","4,186","±1,641","0.0%","±0.1","10,038","±2,800","0.3%","±0.1","N","N","N","N","961","±674","0.0%","±0.1","14,970","±3,471","0.2%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"                Other Native Hawaiian and Other Pacific Islander","1,289","±1,215","0.0%","±0.1","4,027","±2,507","0.5%","±0.3","4,952","±1,854","0.1%","±0.1","N","N","N","N","73,029","±6,330","0.2%","±0.1","1,767","±1,179","0.0%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","4,192","±1,780","0.0%","±0.1","4,385","±2,456","0.0%","±0.1","45,312","±6,667","3.1%","±0.5","998","±668","0.1%","±0.1","3,087","±1,844","0.0%","±0.1","943","±653","0.0%","±0.1","7,647","±2,983","0.2%","±0.1","4,447","±2,310","0.2%","±0.1","2,856","±1,897","0.1%","±0.1","N","N","N","N","N","N","N","N","1,321","±1,049","0.0%","±0.1","213","±240","0.0%","±0.1","931","±505","0.0%","±0.1","1,854","±610","0.0%","±0.1","N","N","N","N","3,567","±882","0.1%","±0.1","N","N","N","N","N","N","N","N","4,462","±1,804","0.1%","±0.1","N","N","N","N","N","N","N","N","423","±278","0.0%","±0.1","4,972","±1,442","0.0%","±0.1","4,494","±1,636","0.0%","±0.1","N","N","N","N","1,816","±1,286","0.0%","±0.1","3,403","±1,306","0.1%","±0.1","9,184","±1,900","0.2%","±0.1","1,031","±534","0.0%","±0.1","N","N","N","N","1,078","±1,180","0.0%","±0.1","N","N","N","N","3,170","±1,546","0.0%","±0.1","12,161","±3,567","0.0%","±0.1","23,309","±3,094","0.7%","±0.1","N","N","N","N","2,965","±1,980","0.0%","±0.1","22,160","±3,772","0.3%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Some Other Race","102,129","±8,859","2.0%","±0.2","13,365","±2,724","1.8%","±0.4","751,130","±28,436","10.2%","±0.4","91,519","±9,063","3.0%","±0.3","7,597,084","±79,525","19.5%","±0.2","374,838","±19,447","6.4%","±0.3","287,206","±14,784","7.9%","±0.4","40,100","±5,080","3.9%","±0.5","30,768","±4,960","4.6%","±0.7","1,457,611","±38,859","6.6%","±0.2","476,365","±17,212","4.4%","±0.2","27,949","±4,078","1.9%","±0.3","93,955","±6,740","4.8%","±0.3","992,124","±30,127","7.9%","±0.2","220,256","±10,672","3.2%","±0.2","75,079","±6,161","2.3%","±0.2","129,702","±9,295","4.4%","±0.3","69,765","±5,636","1.5%","±0.1","89,527","±6,759","2.0%","±0.1","8,954","±1,958","0.6%","±0.1","420,119","±17,677","6.8%","±0.3","414,544","±17,418","5.9%","±0.2","187,360","±10,937","1.9%","±0.1","167,186","±9,616","2.9%","±0.2","51,083","±6,078","1.7%","±0.2","110,452","±8,310","1.8%","±0.1","16,993","±5,396","1.5%","±0.5","87,534","±8,231","4.4%","±0.4","395,323","±16,614","12.4%","±0.5","24,916","±5,103","1.8%","±0.4","976,636","±28,263","10.5%","±0.3","319,316","±14,140","15.1%","±0.7","2,073,894","±39,975","10.5%","±0.2","542,221","±18,471","5.1%","±0.2","15,286","±3,346","2.0%","±0.4","195,022","±11,454","1.7%","±0.1","145,556","±8,405","3.6%","±0.2","230,694","±15,318","5.4%","±0.4","489,122","±18,960","3.8%","±0.1","86,744","±10,375","7.9%","±0.9","145,605","±10,665","2.8%","±0.2","16,372","±2,624","1.8%","±0.3","163,156","±10,451","2.3%","±0.1","3,033,865","±55,546","10.1%","±0.2","210,508","±13,409","6.2%","±0.4","4,147","±1,367","0.6%","±0.2","392,164","±19,230","4.5%","±0.2","451,361","±19,225","5.8%","±0.2","11,068","±2,514","0.6%","±0.1","115,296","±7,781","2.0%","±0.1","21,513","±3,999","3.7%","±0.7","941,489","±22,527","29.2%","±0.7"
"        Two or More Races","259,334","±12,318","5.1%","±0.2","104,307","±7,547","14.2%","±1.0","1,429,843","±34,373","19.4%","±0.5","327,538","±18,629","10.8%","±0.6","7,416,691","±74,887","19.0%","±0.2","854,414","±21,957","14.6%","±0.4","414,363","±18,596","11.4%","±0.5","97,900","±6,031","9.6%","±0.6","68,567","±5,344","10.2%","±0.8","4,252,410","±53,578","19.1%","±0.2","908,731","±28,830","8.3%","±0.3","412,822","±12,644","28.7%","±0.9","190,172","±9,747","9.8%","±0.5","1,367,426","±31,662","10.9%","±0.3","478,032","±14,944","7.0%","±0.2","205,363","±10,099","6.4%","±0.3","294,243","±11,606","10.0%","±0.4","272,024","±11,459","6.0%","±0.3","314,891","±12,995","6.9%","±0.3","72,552","±4,631","5.2%","±0.3","503,236","±19,559","8.2%","±0.3","744,808","±20,970","10.7%","±0.3","712,970","±17,735","7.1%","±0.2","382,788","±13,379","6.7%","±0.2","135,273","±9,608","4.6%","±0.3","449,757","±14,364","7.3%","±0.2","76,540","±4,770","6.8%","±0.4","174,275","±9,843","8.9%","±0.5","563,158","±18,882","17.7%","±0.6","90,680","±6,952","6.5%","±0.5","1,127,281","±30,055","12.2%","±0.3","534,343","±17,344","25.3%","±0.8","1,984,459","±39,865","10.1%","±0.2","850,372","±23,175","7.9%","±0.2","40,820","±4,654","5.2%","±0.6","767,339","±23,795","6.5%","±0.2","577,962","±14,867","14.4%","±0.4","502,823","±17,136","11.9%","±0.4","936,216","±24,782","7.2%","±0.2","132,379","±10,763","12.1%","±1.0","337,109","±13,418","6.4%","±0.3","57,645","±5,480","6.3%","±0.6","485,050","±16,606","6.9%","±0.2","7,160,354","±76,611","23.8%","±0.3","298,071","±14,989","8.8%","±0.4","35,485","±3,139","5.5%","±0.5","800,629","±20,792","9.2%","±0.2","979,705","±23,475","12.6%","±0.3","83,521","±6,134","4.7%","±0.3","467,358","±14,061","7.9%","±0.2","48,260","±4,164","8.3%","±0.7","1,230,587","±23,255","38.2%","±0.7"
"            White and Black or African American","53,260","±6,650","1.0%","±0.1","9,289","±3,074","1.3%","±0.4","78,434","±8,942","1.1%","±0.1","39,419","±5,027","1.3%","±0.2","307,492","±14,365","0.8%","±0.1","56,586","±5,912","1.0%","±0.1","56,716","±6,897","1.6%","±0.2","15,903","±3,240","1.6%","±0.3","12,625","±3,052","1.9%","±0.5","271,851","±16,353","1.2%","±0.1","157,239","±11,538","1.4%","±0.1","7,537","±1,345","0.5%","±0.1","9,369","±1,432","0.5%","±0.1","144,813","±10,288","1.2%","±0.1","90,141","±7,750","1.3%","±0.1","37,525","±4,373","1.2%","±0.1","43,744","±5,387","1.5%","±0.2","60,762","±6,411","1.3%","±0.1","56,158","±6,648","1.2%","±0.1","9,064","±2,247","0.7%","±0.2","99,926","±9,143","1.6%","±0.1","64,245","±6,136","0.9%","±0.1","150,741","±12,360","1.5%","±0.1","72,047","±6,738","1.3%","±0.1","31,022","±4,562","1.1%","±0.2","77,893","±6,649","1.3%","±0.1","4,009","±1,024","0.4%","±0.1","24,289","±3,058","1.2%","±0.2","35,335","±5,201","1.1%","±0.2","9,149","±2,408","0.7%","±0.2","93,007","±8,695","1.0%","±0.1","14,048","±2,659","0.7%","±0.1","215,429","±12,801","1.1%","±0.1","148,250","±11,275","1.4%","±0.1","6,026","±1,697","0.8%","±0.2","205,434","±13,850","1.7%","±0.1","60,029","±5,462","1.5%","±0.1","34,958","±4,364","0.8%","±0.1","168,837","±10,007","1.3%","±0.1","12,432","±3,226","1.1%","±0.3","60,658","±6,628","1.1%","±0.1","8,036","±2,931","0.9%","±0.3","85,936","±6,936","1.2%","±0.1","292,917","±20,526","1.0%","±0.1","20,618","±3,868","0.6%","±0.1","4,852","±1,117","0.7%","±0.2","129,695","±8,728","1.5%","±0.1","95,610","±6,915","1.2%","±0.1","18,049","±3,208","1.0%","±0.2","68,015","±6,296","1.2%","±0.1","2,264","±806","0.4%","±0.1","20,017","±4,442","0.6%","±0.1"
"            White and American Indian and Alaska Native","52,973","±3,053","1.0%","±0.1","39,188","±3,599","5.3%","±0.5","78,276","±6,863","1.1%","±0.1","51,972","±3,860","1.7%","±0.1","289,441","±11,579","0.7%","±0.1","65,551","±4,899","1.1%","±0.1","16,768","±2,824","0.5%","±0.1","4,646","±585","0.5%","±0.1","2,091","±1,013","0.3%","±0.2","117,857","±7,240","0.5%","±0.1","99,176","±7,614","0.9%","±0.1","8,923","±1,146","0.6%","±0.1","26,657","±2,331","1.4%","±0.1","83,983","±5,150","0.7%","±0.1","69,515","±4,068","1.0%","±0.1","28,399","±2,508","0.9%","±0.1","45,512","±2,344","1.5%","±0.1","53,683","±3,304","1.2%","±0.1","44,294","±4,449","1.0%","±0.1","14,983","±1,256","1.1%","±0.1","28,314","±2,642","0.5%","±0.1","24,664","±2,111","0.4%","±0.1","96,137","±3,651","1.0%","±0.1","55,426","±2,768","1.0%","±0.1","25,919","±3,734","0.9%","±0.1","87,551","±4,206","1.4%","±0.1","27,563","±2,672","2.5%","±0.2","21,616","±2,506","1.1%","±0.1","29,610","±3,875","0.9%","±0.1","11,619","±1,350","0.8%","±0.1","37,649","±4,196","0.4%","±0.1","26,801","±3,718","1.3%","±0.2","71,215","±3,933","0.4%","±0.1","94,706","±5,590","0.9%","±0.1","12,532","±2,240","1.6%","±0.3","113,729","±6,572","1.0%","±0.1","212,354","±6,421","5.3%","±0.2","72,077","±4,122","1.7%","±0.1","79,324","±4,901","0.6%","±0.1","7,176","±1,157","0.7%","±0.1","45,579","±3,764","0.9%","±0.1","19,496","±2,705","2.1%","±0.3","83,895","±5,224","1.2%","±0.1","245,784","±11,193","0.8%","±0.1","26,725","±2,417","0.8%","±0.1","7,710","±780","1.2%","±0.1","59,394","±4,843","0.7%","±0.1","111,205","±4,893","1.4%","±0.1","21,132","±2,448","1.2%","±0.1","52,485","±2,583","0.9%","±0.1","9,574","±1,592","1.6%","±0.3","2,135","±1,435","0.1%","±0.1"
"            White and Asian","19,119","±2,794","0.4%","±0.1","11,398","±2,307","1.6%","±0.3","67,196","±4,760","0.9%","±0.1","12,131","±1,844","0.4%","±0.1","637,962","±19,861","1.6%","±0.1","74,265","±5,047","1.3%","±0.1","26,534","±3,577","0.7%","±0.1","7,117","±1,704","0.7%","±0.2","7,816","±1,407","1.2%","±0.2","136,655","±9,237","0.6%","±0.1","63,843","±6,008","0.6%","±0.1","77,004","±4,891","5.3%","±0.3","19,326","±2,239","1.0%","±0.1","90,167","±6,349","0.7%","±0.1","31,883","±3,854","0.5%","±0.1","20,066","±2,604","0.6%","±0.1","18,086","±2,094","0.6%","±0.1","19,616","±2,763","0.4%","±0.1","17,094","±2,630","0.4%","±0.1","8,132","±1,303","0.6%","±0.1","63,275","±5,397","1.0%","±0.1","65,284","±5,502","0.9%","±0.1","64,281","±5,381","0.6%","±0.1","50,375","±4,063","0.9%","±0.1","9,435","±2,161","0.3%","±0.1","32,726","±3,627","0.5%","±0.1","7,354","±1,279","0.7%","±0.1","14,024","±2,502","0.7%","±0.1","42,834","±5,104","1.3%","±0.2","13,122","±2,661","0.9%","±0.2","74,067","±5,874","0.8%","±0.1","11,238","±2,372","0.5%","±0.1","141,408","±10,079","0.7%","±0.1","65,428","±5,361","0.6%","±0.1","3,916","±1,588","0.5%","±0.2","60,382","±5,393","0.5%","±0.1","23,952","±3,045","0.6%","±0.1","66,292","±4,735","1.6%","±0.1","77,127","±5,809","0.6%","±0.1","8,538","±2,097","0.8%","±0.2","24,937","±2,841","0.5%","±0.1","5,976","±1,478","0.7%","±0.2","35,666","±4,379","0.5%","±0.1","194,948","±10,633","0.6%","±0.1","32,625","±4,904","1.0%","±0.1","4,486","±1,208","0.7%","±0.2","100,186","±6,482","1.2%","±0.1","158,523","±7,124","2.0%","±0.1","7,098","±1,454","0.4%","±0.1","37,606","±3,976","0.6%","±0.1","2,985","±813","0.5%","±0.1","1,803","±1,815","0.1%","±0.1"
"            White and Some Other Race","91,045","±6,730","1.8%","±0.1","23,096","±3,310","3.1%","±0.5","1,082,685","±32,234","14.7%","±0.4","194,996","±15,172","6.4%","±0.5","5,171,382","±63,615","13.2%","±0.2","565,392","±21,430","9.7%","±0.4","235,087","±16,139","6.5%","±0.4","50,255","±5,356","4.9%","±0.5","29,812","±3,670","4.4%","±0.5","3,312,642","±48,231","14.9%","±0.2","420,865","±18,022","3.9%","±0.2","27,432","±3,909","1.9%","±0.3","116,882","±8,997","6.0%","±0.5","890,019","±28,353","7.1%","±0.2","227,512","±10,791","3.3%","±0.2","97,295","±7,242","3.0%","±0.2","148,358","±10,482","5.1%","±0.4","102,250","±8,304","2.3%","±0.2","144,317","±8,968","3.1%","±0.2","34,201","±3,986","2.5%","±0.3","198,735","±12,759","3.2%","±0.2","415,198","±16,841","5.9%","±0.2","315,159","±13,372","3.1%","±0.1","150,115","±8,197","2.6%","±0.1","46,921","±5,832","1.6%","±0.2","195,026","±10,540","3.2%","±0.2","28,370","±3,582","2.5%","±0.3","93,019","±7,820","4.7%","±0.4","352,014","±16,588","11.1%","±0.5","48,203","±6,199","3.5%","±0.4","729,506","±25,371","7.9%","±0.3","438,355","±18,053","20.7%","±0.9","1,024,330","±31,508","5.2%","±0.2","402,898","±16,880","3.8%","±0.2","14,780","±2,958","1.9%","±0.4","278,401","±13,835","2.4%","±0.1","199,899","±10,119","5.0%","±0.3","255,402","±13,188","6.0%","±0.3","433,200","±19,219","3.3%","±0.1","61,078","±8,491","5.6%","±0.8","158,055","±10,766","3.0%","±0.2","15,651","±3,486","1.7%","±0.4","229,275","±12,931","3.3%","±0.2","5,922,593","±66,848","19.7%","±0.2","172,621","±12,101","5.1%","±0.4","14,763","±2,456","2.3%","±0.4","376,570","±18,073","4.3%","±0.2","455,786","±18,251","5.9%","±0.2","30,938","±4,113","1.7%","±0.2","267,180","±12,483","4.5%","±0.2","27,671","±3,684","4.8%","±0.6","989,290","±21,770","30.7%","±0.7"
"            Black or African American and American Indian and Alaska Native","5,089","±2,400","0.1%","±0.1","1,202","±835","0.2%","±0.1","6,706","±1,953","0.1%","±0.1","2,774","±1,026","0.1%","±0.1","48,192","±6,515","0.1%","±0.1","6,178","±1,792","0.1%","±0.1","7,032","±2,655","0.2%","±0.1","3,855","±1,569","0.4%","±0.2","2,268","±1,262","0.3%","±0.2","23,976","±3,790","0.1%","±0.1","24,310","±4,884","0.2%","±0.1","575","±304","0.0%","±0.1","927","±765","0.0%","±0.1","16,467","±3,651","0.1%","±0.1","5,642","±2,020","0.1%","±0.1","1,001","±534","0.0%","±0.1","6,127","±2,804","0.2%","±0.1","3,618","±1,821","0.1%","±0.1","13,637","±4,393","0.3%","±0.1","292","±258","0.0%","±0.1","15,583","±3,847","0.3%","±0.1","7,360","±2,212","0.1%","±0.1","13,061","±2,875","0.1%","±0.1","7,301","±2,481","0.1%","±0.1","5,304","±2,181","0.2%","±0.1","9,272","±3,602","0.2%","±0.1","617","±503","0.1%","±0.1","2,214","±1,083","0.1%","±0.1","5,418","±2,426","0.2%","±0.1","312","±283","0.0%","±0.1","14,206","±3,971","0.2%","±0.1","2,704","±1,502","0.1%","±0.1","27,479","±4,899","0.1%","±0.1","24,051","±4,567","0.2%","±0.1","105","±123","0.0%","±0.1","17,559","±3,935","0.1%","±0.1","23,827","±3,271","0.6%","±0.1","2,126","±1,699","0.1%","±0.1","12,252","±2,844","0.1%","±0.1","1,817","±957","0.2%","±0.1","11,563","±3,766","0.2%","±0.1","2,938","±2,180","0.3%","±0.2","11,412","±3,866","0.2%","±0.1","37,659","±6,502","0.1%","±0.1","2,157","±1,527","0.1%","±0.1","22","±48","0.0%","±0.1","14,031","±3,297","0.2%","±0.1","6,536","±2,034","0.1%","±0.1","408","±298","0.0%","±0.1","5,396","±1,922","0.1%","±0.1","121","±150","0.0%","±0.1","497","±342","0.0%","±0.1"
"            Black or African American and Some Other Race","5,451","±1,760","0.1%","±0.1","1,238","±838","0.2%","±0.1","12,144","±3,422","0.2%","±0.1","2,763","±1,435","0.1%","±0.1","105,053","±9,010","0.3%","±0.1","8,477","±2,259","0.1%","±0.1","25,982","±5,438","0.7%","±0.1","5,850","±2,023","0.6%","±0.2","4,214","±1,535","0.6%","±0.2","156,884","±12,814","0.7%","±0.1","37,795","±6,070","0.3%","±0.1","1,445","±683","0.1%","±0.1","1,190","±687","0.1%","±0.1","28,964","±5,288","0.2%","±0.1","12,664","±4,044","0.2%","±0.1","2,322","±1,284","0.1%","±0.1","2,637","±819","0.1%","±0.1","6,125","±1,876","0.1%","±0.1","9,573","±2,683","0.2%","±0.1","592","±345","0.0%","±0.1","25,842","±5,324","0.4%","±0.1","86,343","±9,707","1.2%","±0.1","12,148","±2,623","0.1%","±0.1","5,277","±1,596","0.1%","±0.1","6,372","±2,973","0.2%","±0.1","6,780","±2,532","0.1%","±0.1","35","±47","0.0%","±0.1","3,096","±1,959","0.2%","±0.1","14,704","±2,938","0.5%","±0.1","1,180","±907","0.1%","±0.1","80,432","±9,939","0.9%","±0.1","3,737","±2,055","0.2%","±0.1","247,640","±17,683","1.3%","±0.1","25,805","±4,877","0.2%","±0.1","149","±196","0.0%","±0.1","20,058","±3,897","0.2%","±0.1","2,605","±812","0.1%","±0.1","2,877","±1,371","0.1%","±0.1","48,677","±7,639","0.4%","±0.1","21,628","±5,239","2.0%","±0.5","9,654","±3,640","0.2%","±0.1","231","±255","0.0%","±0.1","7,178","±2,098","0.1%","±0.1","87,843","±11,425","0.3%","±0.1","1,704","±963","0.1%","±0.1","305","±260","0.0%","±0.1","24,061","±4,343","0.3%","±0.1","10,777","±4,214","0.1%","±0.1","768","±596","0.0%","±0.1","4,669","±1,674","0.1%","±0.1","118","±184","0.0%","±0.1","119,469","±7,535","3.7%","±0.2"
"Race alone or in combination with one or more other races","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
