City,State,Median Income (16 and over)
Tallahassee,Florida,33775
Tamarac,Florida,38796
Tampa,Florida,46983
The Villages CDP,Florida,34072
Town 'n' Country CDP,Florida,36579
Wesley Chapel CDP,Florida,50891
Weston,Florida,52495
West Palm Beach,Florida,41737
Albany,Georgia,26766
Alpharetta,Georgia,72557
Athens-Clarke County unified government (balance),Georgia,31607
Atlanta,Georgia,62215
Augusta-Richmond County consolidated government (balance),Georgia,33753
Columbus,Georgia,36260
Johns Creek,Georgia,84219
Macon-Bibb County,Georgia,36199
Roswell,Georgia,64497
Sandy Springs,Georgia,72316
Savannah,Georgia,35649
South Fulton,Georgia,53604
Warner Robins,Georgia,39309
Urban Honolulu CDP,Hawaii,47010
Boise,Idaho,45196
Caldwell,Idaho,35584
Idaho Falls,Idaho,40410
Meridian,Idaho,49587
Nampa,Idaho,38106
Arlington Heights village,Illinois,70509
Aurora,Illinois,43780
Bloomington,Illinois,49912
Bolingbrook village,Illinois,49412
Champaign,Illinois,38926
Chicago,Illinois,50723
Cicero town,Illinois,39328
Decatur,Illinois,40291
Elgin,Illinois,42150
Evanston,Illinois,60008
Joliet,Illinois,45311
Naperville,Illinois,74615
Palatine village,Illinois,52785
Peoria,Illinois,40642
Rockford,Illinois,37290
Schaumburg village,Illinois,59569
Skokie village,Illinois,51735
Springfield,Illinois,43819
Waukegan,Illinois,38876
Bloomington,Indiana,30234
Carmel,Indiana,71096
Evansville,Indiana,35710
Fishers,Indiana,70877
Fort Wayne,Indiana,39779
Gary,Indiana,29934
Hammond,Indiana,37872
Indianapolis (balance),Indiana,41655
Lafayette,Indiana,38585
Muncie,Indiana,28204
Noblesville,Indiana,55500
South Bend,Indiana,37016
Ames,Iowa,24227
Ankeny,Iowa,60388
Cedar Rapids,Iowa,41051
Davenport,Iowa,36198
Des Moines,Iowa,42069
Iowa,Iowa,26331
Sioux,Iowa,44878
Waterloo,Iowa,39419
West Des Moines,Iowa,51904
Kansas,Kansas,40106
Lawrence,Kansas,31934
Olathe,Kansas,54295
Overland Park,Kansas,60336
Shawnee,Kansas,56097
Topeka,Kansas,41346
Wichita,Kansas,39708
Bowling Green,Kentucky,30511
Lexington-Fayette urban county,Kentucky,41503
Louisville/Jefferson County metro government (balance),Kentucky,41882
Baton Rouge,Louisiana,36469
Kenner,Louisiana,42769
Lafayette,Louisiana,40960
Lake Charles,Louisiana,41140
Metairie CDP,Louisiana,50773
New Orleans,Louisiana,41857
Shreveport,Louisiana,32480
Portland,Maine,46812
Baltimore,Maryland,46458
Bethesda CDP,Maryland,103085
Columbia CDP,Maryland,70212
Dundalk CDP,Maryland,33584
Ellicott CDP,Maryland,83965
Frederick,Maryland,61283
Gaithersburg,Maryland,52584
Germantown CDP,Maryland,61161
Glen Burnie CDP,Maryland,47452
Rockville,Maryland,63327
Silver Spring CDP,Maryland,54261
Waldorf CDP,Maryland,60917
Boston,Massachusetts,60102
Brockton,Massachusetts,45326
Cambridge,Massachusetts,64493
Fall River,Massachusetts,41826
Framingham,Massachusetts,58880
Haverhill,Massachusetts,50557
Lawrence,Massachusetts,32208
Lowell,Massachusetts,44533
Lynn,Massachusetts,37180
Malden,Massachusetts,55653
Medford,Massachusetts,67396
New Bedford,Massachusetts,40150
Newton,Massachusetts,94832
Quincy,Massachusetts,57553
Somerville,Massachusetts,72442
Springfield,Massachusetts,37551
Worcester,Massachusetts,41219
Ann Arbor,Michigan,40617
Dearborn,Michigan,42130
Detroit,Michigan,31741
Farmington Hills,Michigan,65984
Flint,Michigan,27587
Grand Rapids,Michigan,43753
Kalamazoo,Michigan,29555
Lansing,Michigan,36601
Livonia,Michigan,56440
Novi,Michigan,73088
Rochester Hills,Michigan,62996
Southfield,Michigan,45876
Sterling Heights,Michigan,46481
Troy,Michigan,66595
Warren,Michigan,40793
Westland,Michigan,41650
Wyoming,Michigan,41335
Blaine,Minnesota,55594
Bloomington,Minnesota,52359
Brooklyn Park,Minnesota,48936
Duluth,Minnesota,40118
Eagan,Minnesota,59704
Lakeville,Minnesota,67526
Maple Grove,Minnesota,69620
Minneapolis,Minnesota,51498
Plymouth,Minnesota,68488
Rochester,Minnesota,55604
St. Cloud,Minnesota,36124
St. Paul,Minnesota,44136
Woodbury,Minnesota,63790
Gulfport,Mississippi,34630
Jackson,Mississippi,33059
Columbia,Missouri,40039
Independence,Missouri,42010
Kansas,Missouri,45540
Lee's Summit,Missouri,54388
O'Fallon,Missouri,57424
St. Charles,Missouri,55054
St. Joseph,Missouri,37205
St. Louis,Missouri,42372
Springfield,Missouri,32671
Billings,Montana,44831
Missoula,Montana,35985
Lincoln,Nebraska,41163
Omaha,Nebraska,44733
Enterprise CDP,Nevada,46234
Henderson,Nevada,50815
Las Vegas,Nevada,40316
North Las Vegas,Nevada,41735
Paradise CDP,Nevada,36913
Reno,Nevada,42316
Sparks,Nevada,42734
Spring Valley CDP,Nevada,40645
Sunrise Manor CDP,Nevada,34700
Manchester,New Hampshire,44836
Nashua,New Hampshire,56234
Bayonne,New Jersey,51904
Camden,New Jersey,29396
Clifton,New Jersey,51554
East Orange,New Jersey,34872
Elizabeth,New Jersey,39177
Jersey,New Jersey,67874
Lakewood CDP,New Jersey,32336
Newark,New Jersey,35828
Passaic,New Jersey,31013
Paterson,New Jersey,35244
Toms River CDP,New Jersey,54367
Trenton,New Jersey,38592
Union,New Jersey,35231
Albuquerque,New Mexico,41984
Las Cruces,New Mexico,32030
Rio Rancho,New Mexico,44942
Santa Fe,New Mexico,40309
Albany,New York,39005
Buffalo,New York,36716
Cheektowaga CDP,New York,44322
Mount Vernon,New York,46210
New Rochelle,New York,63677
New York,New York,51600
Rochester,New York,37002
Schenectady,New York,36299
Syracuse,New York,32482
Yonkers,New York,49165
Apex town,North Carolina,81239
Asheville,North Carolina,42081
Cary town,North Carolina,66369
Charlotte,North Carolina,49521
Concord,North Carolina,46881
Durham,North Carolina,49743
Fayetteville,North Carolina,35658
Gastonia,North Carolina,40609
Greensboro,North Carolina,36327
Greenville,North Carolina,37619
High Point,North Carolina,41448
Jacksonville,North Carolina,29725
Raleigh,North Carolina,49465
Wilmington,North Carolina,41353
Winston-Salem,North Carolina,37722
Bismarck,North Dakota,48620
Fargo,North Dakota,41118
Akron,Ohio,36969
Canton,Ohio,31975
Cincinnati,Ohio,39890
Cleveland,Ohio,35824
Columbus,Ohio,42586
Dayton,Ohio,35240
Lorain,Ohio,35421
Parma,Ohio,42844
Toledo,Ohio,37206
Broken Arrow,Oklahoma,47907
Edmond,Oklahoma,52634
Lawton,Oklahoma,31914
Norman,Oklahoma,34914
Oklahoma,Oklahoma,41346
Tulsa,Oklahoma,37400
Beaverton,Oregon,54056
Bend,Oregon,50197
Eugene,Oregon,37932
Gresham,Oregon,42882
Hillsboro,Oregon,56234
Medford,Oregon,38250
Portland,Oregon,52941
Salem,Oregon,39754
Allentown,Pennsylvania,35493
Bethlehem,Pennsylvania,44730
Erie,Pennsylvania,32265
Philadelphia,Pennsylvania,43326
Pittsburgh,Pennsylvania,46570
Reading,Pennsylvania,32495
Scranton,Pennsylvania,35463
Cranston,Rhode Island,50506
Pawtucket,Rhode Island,45609
Providence,Rhode Island,40032
Warwick,Rhode Island,53556
Charleston,South Carolina,51854
Columbia,South Carolina,37286
Greenville,South Carolina,43481
Mount Pleasant town,South Carolina,63898
North Charleston,South Carolina,40752
Rock Hill,South Carolina,37307
Rapid,South Dakota,39662
Sioux Falls,South Dakota,45753
Chattanooga,Tennessee,42930
Clarksville,Tennessee,38614
Franklin,Tennessee,64516
Jackson,Tennessee,31933
Johnson,Tennessee,31633
Knoxville,Tennessee,34146
Memphis,Tennessee,38566
Murfreesboro,Tennessee,38834
Nashville-Davidson metropolitan government (balance),Tennessee,47362
Abilene,Texas,35115
Allen,Texas,66616
Amarillo,Texas,40124
Arlington,Texas,38539
Atascocita CDP,Texas,62324
Austin,Texas,56759
Baytown,Texas,39344
Beaumont,Texas,36834
Brownsville,Texas,30131
Bryan,Texas,39054
Carrollton,Texas,53554
Cedar Park,Texas,68693
College Station,Texas,30470
Conroe,Texas,41196
Corpus Christi,Texas,40879
Dallas,Texas,42397
Denton,Texas,35175
Edinburg,Texas,34767
El Paso,Texas,32968
Flower Mound town,Texas,78479
Fort Worth,Texas,45264
Frisco,Texas,75873
Garland,Texas,39934
Georgetown,Texas,54110
Grand Prairie,Texas,41811
Harlingen,Texas,34826
Houston,Texas,40711
Irving,Texas,44109
Killeen,Texas,31396
Laredo,Texas,32312
League,Texas,61482
Leander,Texas,70123
Lewisville,Texas,47755
Longview,Texas,41781
Lubbock,Texas,38118
McAllen,Texas,32793
McKinney,Texas,61493
Mansfield,Texas,52592
Mesquite,Texas,40404
Midland,Texas,51893
Mission,Texas,35991
Missouri,Texas,52855
New Braunfels,Texas,50331
North Richland Hills,Texas,57783
Odessa,Texas,47328
Pasadena,Texas,36002
Pearland,Texas,61014
Pflugerville,Texas,58965
Pharr,Texas,25286
Plano,Texas,59457
Richardson,Texas,56402
Round Rock,Texas,50140
Rowlett,Texas,60454
San Angelo,Texas,36049
San Antonio,Texas,36689
San Marcos,Texas,28454
Spring CDP,Texas,45114
Sugar Land,Texas,62820
Temple,Texas,38578
The Woodlands CDP,Texas,80150
Tyler,Texas,34212
Victoria,Texas,35639
Waco,Texas,33602
Wichita Falls,Texas,36214
Layton,Utah,49782
Lehi,Utah,50105
Ogden,Utah,40736
Orem,Utah,36275
Provo,Utah,21600
St. George,Utah,40272
Salt Lake,Utah,43102
Sandy,Utah,49956
South Jordan,Utah,58307
West Jordan,Utah,43815
West Valley,Utah,39302
Alexandria,Virginia,79029
Arlington CDP,Virginia,90719
Centreville CDP,Virginia,66369
Chesapeake,Virginia,50160
Dale CDP,Virginia,44418
Hampton,Virginia,42845
Lynchburg,Virginia,31308
Newport News,Virginia,40416
Norfolk,Virginia,36897
Portsmouth,Virginia,40633
Richmond,Virginia,44259
Roanoke,Virginia,39619
Suffolk,Virginia,52485
Virginia Beach,Virginia,48448
Auburn,Washington,53913
Bellevue,Washington,98403
Bellingham,Washington,36613
Everett,Washington,50905
Federal Way,Washington,44531
Kennewick,Washington,42234
Kent,Washington,50474
Kirkland,Washington,86148
Marysville,Washington,55436
Pasco,Washington,40099
Redmond,Washington,104677
Renton,Washington,57361
Sammamish,Washington,128496
Seattle,Washington,78269
South Hill CDP,Washington,61937
Spokane,Washington,42122
Spokane Valley,Washington,40713
Tacoma,Washington,54303
Vancouver,Washington,46104
Yakima,Washington,39635
Appleton,Wisconsin,45023
Eau Claire,Wisconsin,34124
Green Bay,Wisconsin,40706
Janesville,Wisconsin,42935
Kenosha,Wisconsin,42039
Madison,Wisconsin,48647
Milwaukee,Wisconsin,39835
Oshkosh,Wisconsin,35461
Racine,Wisconsin,43313
Waukesha,Wisconsin,49431
Cheyenne,Wyoming,46600
Bayamón zona urbana,Puerto Rico,21877
Caguas zona urbana,Puerto Rico,18378
Carolina zona urbana,Puerto Rico,22288
Guaynabo zona urbana,Puerto Rico,33287
Ponce zona urbana,Puerto Rico,18629
San Juan zona urbana,Puerto Rico,23757
